epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.377,0.94972,0.77901,0.90607,0.87026,0.65008,0.74295,0.50453,0.88518,0.68715,0.89288,0.000408333,0.000408333,0.000408333
2,697.52,0.91944,0.70371,0.88778,0.7037,0.71535,0.69271,0.47182,0.89084,0.72409,0.9085,0.000808665,0.000808665,0.000808665
3,1010.22,0.89794,0.67497,0.87655,0.81819,0.67888,0.74372,0.51021,0.87264,0.70599,0.89362,0.0011925,0.0011925,0.0011925
4,1352.03,0.89308,0.66331,0.87568,0.81652,0.73588,0.78086,0.5554,0.82064,0.64194,0.87843,0.00117575,0.00117575,0.00117575
5,1652.76,0.89064,0.65169,0.87601,0.85072,0.73847,0.78868,0.54695,0.85091,0.62456,0.87709,0.001151,0.001151,0.001151
6,2051.9,0.87837,0.63638,0.87715,0.76092,0.64583,0.72598,0.48872,0.8286,0.65644,0.8803,0.00112625,0.00112625,0.00112625
7,2465.04,0.88851,0.62219,0.87643,0.75613,0.77149,0.77552,0.55441,0.79043,0.60332,0.87443,0.0011015,0.0011015,0.0011015
8,2867.44,0.87553,0.60151,0.86909,0.86629,0.754,0.80514,0.56077,0.79828,0.58661,0.87305,0.00107675,0.00107675,0.00107675
9,3239.61,0.87412,0.58454,0.87107,0.78077,0.79441,0.80521,0.55999,0.82507,0.60299,0.87723,0.001052,0.001052,0.001052
10,3592.05,0.89003,0.58647,0.87141,0.84628,0.78057,0.83345,0.58679,0.81828,0.56704,0.87245,0.00102725,0.00102725,0.00102725
11,3974.6,0.83113,0.56172,0.86815,0.78585,0.80545,0.82637,0.57692,0.80175,0.54699,0.87527,0.0010025,0.0010025,0.0010025
12,4327.02,0.85528,0.57086,0.86258,0.88798,0.7405,0.81051,0.56993,0.79478,0.59165,0.87371,0.00097775,0.00097775,0.00097775
13,4581.62,0.85762,0.56718,0.86291,0.84469,0.7876,0.83897,0.58606,0.79005,0.55306,0.87417,0.000953,0.000953,0.000953
14,4817.1,0.82815,0.54931,0.86533,0.86077,0.78549,0.84272,0.59028,0.79209,0.54361,0.87691,0.00092825,0.00092825,0.00092825
15,5054.48,0.84353,0.54493,0.86311,0.88729,0.77313,0.83243,0.59694,0.82279,0.55156,0.87361,0.0009035,0.0009035,0.0009035
16,5289.94,0.85165,0.54167,0.86269,0.86107,0.78346,0.84272,0.59567,0.79114,0.53718,0.87283,0.00087875,0.00087875,0.00087875
17,5525.2,0.83751,0.53405,0.86186,0.87192,0.79385,0.83884,0.58628,0.84777,0.53771,0.88442,0.000854,0.000854,0.000854
18,5761.93,0.85312,0.5354,0.86465,0.88609,0.80501,0.85437,0.58331,0.80349,0.53659,0.87921,0.00082925,0.00082925,0.00082925
19,5996.93,0.84159,0.53232,0.86409,0.87025,0.79796,0.85523,0.59524,0.81346,0.51506,0.8756,0.0008045,0.0008045,0.0008045
20,6232.36,0.82724,0.51872,0.85843,0.90966,0.77482,0.85493,0.59696,0.77091,0.50411,0.86835,0.00077975,0.00077975,0.00077975
21,6469.29,0.80185,0.50479,0.85583,0.90226,0.78158,0.84792,0.59806,0.75952,0.50075,0.86616,0.000755,0.000755,0.000755
22,6704.85,0.79749,0.49669,0.85295,0.92608,0.76202,0.84893,0.60193,0.76105,0.49373,0.86617,0.00073025,0.00073025,0.00073025
23,6942.14,0.80264,0.49322,0.85319,0.87396,0.8109,0.85469,0.60058,0.75659,0.48245,0.86851,0.0007055,0.0007055,0.0007055
24,7177.63,0.78782,0.48685,0.85335,0.90868,0.77232,0.84338,0.59215,0.77066,0.49374,0.87012,0.00068075,0.00068075,0.00068075
25,7423.14,0.79966,0.49521,0.8512,0.8367,0.82475,0.84594,0.58982,0.79438,0.51537,0.87801,0.000656,0.000656,0.000656
26,7666.38,0.80164,0.49051,0.85143,0.93152,0.78003,0.85157,0.59776,0.77058,0.49288,0.87404,0.00063125,0.00063125,0.00063125
27,7904.99,0.80445,0.48287,0.85122,0.87743,0.80394,0.85021,0.59761,0.7673,0.49041,0.86816,0.0006065,0.0006065,0.0006065
28,8144.17,0.78942,0.4788,0.85512,0.88749,0.81418,0.8519,0.60221,0.74819,0.48147,0.86507,0.00058175,0.00058175,0.00058175
29,8387.16,0.78398,0.47205,0.84739,0.90415,0.79342,0.85439,0.61111,0.74946,0.46269,0.86806,0.000557,0.000557,0.000557
30,8634.61,0.77603,0.47148,0.84759,0.89709,0.79643,0.85467,0.60487,0.76021,0.48026,0.87041,0.00053225,0.00053225,0.00053225
31,8873.04,0.78584,0.46669,0.84944,0.90509,0.82273,0.85772,0.60129,0.78165,0.47173,0.86975,0.0005075,0.0005075,0.0005075
32,9111.45,0.80122,0.4734,0.85114,0.9149,0.78865,0.85517,0.61646,0.7487,0.46186,0.86316,0.00048275,0.00048275,0.00048275
33,9353.37,0.75752,0.45358,0.84816,0.91442,0.8011,0.85443,0.6159,0.75132,0.46352,0.86332,0.000458,0.000458,0.000458
34,9592.33,0.76324,0.45425,0.84829,0.89408,0.80078,0.84951,0.60312,0.75272,0.45762,0.86513,0.00043325,0.00043325,0.00043325
35,9831.63,0.75124,0.44885,0.84411,0.89554,0.79836,0.85544,0.60562,0.76938,0.44991,0.86379,0.0004085,0.0004085,0.0004085
36,10078,0.76184,0.44969,0.84507,0.94653,0.74774,0.8485,0.60685,0.73895,0.45838,0.86379,0.00038375,0.00038375,0.00038375
37,10321.1,0.76986,0.45328,0.84045,0.86467,0.81708,0.83957,0.6065,0.75268,0.45541,0.86309,0.000359,0.000359,0.000359
38,10564.7,0.77988,0.45968,0.84814,0.89424,0.80691,0.85557,0.61688,0.74745,0.44731,0.8609,0.00033425,0.00033425,0.00033425
39,10804.1,0.75427,0.44437,0.8425,0.89594,0.80617,0.85572,0.62574,0.73445,0.44398,0.86128,0.0003095,0.0003095,0.0003095
40,11045.1,0.74805,0.44325,0.84044,0.93678,0.7851,0.85771,0.61278,0.76039,0.4413,0.86215,0.00028475,0.00028475,0.00028475
