epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,11277.1,0.73326,0.43592,0.84865,0.91573,0.78155,0.85282,0.60368,0.74957,0.44808,0.86193,0.00026,0.00026,0.00026
42,11508.5,0.72892,0.43482,0.84724,0.87929,0.81492,0.85398,0.60509,0.76657,0.45203,0.8664,0.00023525,0.00023525,0.00023525
43,11744.4,0.72099,0.42897,0.84458,0.89829,0.81146,0.85418,0.61974,0.75233,0.44433,0.86449,0.0002105,0.0002105,0.0002105
44,11977.2,0.71524,0.42275,0.84511,0.86809,0.81403,0.85387,0.62038,0.74649,0.43823,0.86179,0.00018575,0.00018575,0.00018575
45,12210.6,0.72053,0.42055,0.84457,0.89436,0.79351,0.85299,0.61566,0.74106,0.43613,0.85957,0.000161,0.000161,0.000161
46,12446.5,0.7135,0.41556,0.84535,0.90437,0.79647,0.85304,0.62259,0.7349,0.43797,0.86076,0.00013625,0.00013625,0.00013625
47,12679.5,0.70883,0.41071,0.84169,0.91873,0.79354,0.85428,0.62827,0.73284,0.43074,0.86039,0.0001115,0.0001115,0.0001115
48,12914.3,0.70342,0.40735,0.84082,0.90026,0.80002,0.85311,0.62245,0.73483,0.43155,0.85985,8.675e-05,8.675e-05,8.675e-05
49,13150.8,0.70374,0.41,0.84615,0.90409,0.80251,0.85539,0.62209,0.72557,0.42913,0.85822,6.2e-05,6.2e-05,6.2e-05
50,13383.4,0.69502,0.40358,0.83609,0.8722,0.81492,0.85224,0.62122,0.73285,0.42787,0.85894,3.725e-05,3.725e-05,3.725e-05
